,AgencyID,FacilityID,Phone,Email,Website
0,,0,0464-674097,info@bedandbreakfastaivel lutai.com,
1,,1,338-1189108,cadelgiglio@gmail.com,
2,,2,0464-671736,deimiro@hotmail.it,
3,,3,0464-670162,campingalfaggio@gmail.com,www.campeggioalfaggio.it
4,,4,0464-671636,turiscooplessinia@gmail.c om,
5,,5,0464-696205,zugna26@libero.it,www.residenzazugna.it
6,,6,339-4663799,b-and-bilgrappolo@libero. it,
7,,7,0461-585753,campeggio@andalolifepark. it,www.andalolifepark.it
8,,8,0461-585263,hotel.majorka@tin.it,
9,,9,0461-585534,,
10,,10,0461-585843,info@casaferie.it,
11,,11,0461-585859,dalfovo.aldo@email.it,
12,,12,0461-585710,piccolo@piccolo.it,
13,,13,0461-585715,appartamenti@doland.it,www.dolomitihotelolimpia. it
14,,14,0461-585811,info@violaevillaviola.com,www.violaevillaviola.com
15,,15,0461-585615,info@residencecimedoro.it,www.residencecimedoro.it
16,,16,0461-585975,info@violaevillaviola.com,www.violaevillaviola.com
17,,17,0464-517745,info@casaallalega.it,www.casaallalega.it
18,,18,0464-531370,info@franca.it,www.franca.it
19,,19,0464-541191,chiara.depentori@gmail.co m,www.malgasangiovanni.com
20,,20,0464-505330,villamarinatorbole@gmail. com,
21,,21,327-7321285 / 333-4764861,info@arciduca.net,www.arciduca.net
22,,22,0464-516464,info@dagianni.it,www.dagianni.it
23,,23,380-2584983,alessandro@villaitaliarco .it,www.villaitaliarco.it
24,,24,0464-548230,info@lacantinota.it,www.lacantinota.it
25,,25,392 6211003,carlysrooms@gmail.com,
26,,26,0464-531655,info@appartamentiarcobell a.com,www.appartamentiarcobella .com
27,,27,0464-557875,info@casapasquai.it,
28,,28,0461-233777,comunitasolidale@diocesit n.it,
29,,29,349 4558567,info@acasadipietrobedand breakfast.it,
30,,30,339-3623134,adriarco@hotmail.it,
31,,31,0464-571924,bendbagliulivi@outlook.it,
32,,32,328 6931009,info@arcodeisogni.it,www.arcodeisogni.it
33,,33,333 5217509,althamer.arco@gmail.com,
34,,34,347-2406423,szanoni1@alice.it,
35,,35,0464-553445,ciao@lescuderiearco.com,
36,,36,339 5010165,,
37,,37,0464-516045,gardastivo@gardaqui.net,
38,,38,347-3630151,katia_camozza@hotmail.com,
39,,39,329-6738304,info@villaprincipessa.it,www.villaprincipessa.it
40,,40,392 9510143,bluemoonarco@gmail.com,
41,,41,349 0786163,,
42,,42,348 2605983,ruggero.zanoni@gmail.com,
43,,43,388-4811011,info@bbgardarco.com,www.bbgardarco.com
44,,44,328-7661616,giovanna.tonini@gmail.com,
45,,45,338-5717431,arcomauro@virgilio.it,
46,,46,0464-518433,office@agrivivere.com,www.bedandpizza.com
47,,47,0464-519785,renzochiozzini@alice.it,www.webalice.it/renzochio zzini
48,,48,347 2998973,giovanniceschia@hotmail.c om,
49,,49,0464-510475,galante.simone@yahoo.it,
50,,50,0464-505644,info@camping-bellavista.i t,www.camping-bellavista.it
51,,51,0464-517491,info@arcoturistica.com,www.arcoturistica.com
52,,52,0464-505175,info@campingmaroadi.it,www.campingmaroadi.it
53,,53,0464-516232,zoo@camping.it,www.camping.it/trentino/z oo
54,,54,0464-586200,info@ospedalesanpancrazio .it,www.ospedalesanpancrazio. it
55,,55,0464-554665,info@leservite.com,www.leservite.com
56,,56,0464-506088,info@holidayhomegardatren tino.com,
57,,57,0464-576657,info@casavanny.it,www.casavanny.it
58,,58,335-5241312,hmg@guesthouse-arco.com,www.guesthouse-arco.com
59,,59,0464-517013,info@lanterna-arco.com,www.lanterna-arco.com
60,,60,347-7028153,info@palazzooltre.it,www.palazzooltre.it
61,,61,0464-552288,info@franca.it,www.franca.it
62,,62,0464-548176,info@residenceverdeblu.it,www.residenceverdeblu.it
63,,63,0464-516676,info@soleholiday.com,www.soleholiday.com
64,,64,347-8630876,mc@residencesantacaterina .it,www.residencesantacaterin a.it
65,,65,345-4572147,info@sweetlaghel.it,www.sweetlaghel.it
66,,66,335-5241312,hmg@guesthouse-arco.com,www.guesthouse-arco.com
67,,67,335-1704596,info@hotelalmaso.it,www.albergoalmaso.it
68,,68,0464-552793,info@villanicole.it,
69,,69,0464-684119,boxposta@piccolofiore.net,www.piccolofiore.net
70,,70,0464-684772,bbdamariangela@gmail.com,www.bbdamariangela.com
71,,71,0464-687059,chiara_troiani@libero.it,
72,,72,0464-391626,segreteria@comune.avio.tn .it,
73,,73,0461-553053,info@masovecchiaquercia.i t,www.masovecchiaquercia.it
74,,74,342-174806,matteosolhair@libero.it,
75,,75,0461-557248,affittacamere.gigi@gmail. com,
76,,76,0461-553156,info@ristorantelfilo.it,
77,,77,392 7142136,mettetevi.comodi@gmail.co m,
78,,78,349-3735756,info@bbcuoretrentino.it,www.bbcuoretrentino.it
79,,79,0461-558270,info@caneinfiore.it,www.caneinfiore.it
80,,80,0461-555073,quaglioalessia@yahoo.it,www.ilboscoincantatobb.it
81,,81,333 6853285,info@beblaita.it,www.beblaita.it
82,,82,0461-556642,info@infopineta.it,www.infopineta.it
83,,83,0461-556718,verdeblu@pinecamping.it,www.pinecamping.it
84,,84,338-5908228,info@bb-bluemind.com,www.bb-bluemind.com
85,,85,0461-780153,,
86,,86,340 3134256,info@bbilpiccoloprincipe. com,www.bbilpiccoloprincipebi eno.com
87,,87,0461-596202,,
88,,88,041-479285,niero.diego@hotmail.it,
89,,89,0465-779296,passodurone@gmail.com,
90,,90,333 4134377,natalliaadrian@libero.it,
91,,91,0465-777004,iniziativealberghieresrl@ gmail.it,www.garnilabifora.it
92,,92,338 3689828,b.b.daerica@gmail.com,
93,,93,035-768109,info@yourhappyholiday.it,
94,,94,340-4864535,bebidroblu@gmail.com,
95,,95,0465-299284,info@campingmiralago.it,www.campingmiralago.it
96,,96,366-8952892,info@lavilladegliorti.it,
97,,97,0461-757103,info@locandainborgo.it,www.locandainborgo.it
98,,98,0461-773026,tre.faggi@gmail.com,
99,,99,0461-753318,stefanoschmid@alice.it,www.ristorante-san-giorgi o.it
100,,100,340 9246088,bb.algattonero@gmail.com,
101,,101,360-265482,info@piagaro.it,www.piagaro.com
102,,102,041-5700843,info@cesvitem.org,www.cesvitem.org
103,,103,0423-468937,salvanisio@gmail.com,
104,,104,045-6107379,,
105,,105,0461-761037,,
106,,106,0461-757023,diego.sbetta@emporiosbett a.it,
107,,107,0461-757432,info@valsuganasport.it,www.valsuganasport.it
108,,108,338-7925176,info@villa-monica.it,www.villa-monica.it
109,,109,0464-867004,,
110,,110,339 8715923,info@bblamarmotta.it,
111,,111,0464-391541,info@masdeigirardei.it,
112,,112,0464-867177,info@campingpolsa.it,www.campingpolsa.it
113,,113,0464-391510,info@campingciclamino.com,www.campingciclamino.com
114,,114,347-9514169,elenamadaschi@gmail.com,www.trattoriadamammaepapa .it
115,,115,0463-874256,magagnaluciano@virgilio.i t,www.trentino.to/casadaluc ia
116,,116,0463-874228,lucianotraversara@alice.i t,www.casanonesa.it
117,,117,0465-804518,info@grimmobiliare.com,www.grimmobiliare.com
118,,118,348-7205851,info@masosantamaria.it,www.masosantamaria.it
119,,119,0465-804258,bebpiazzi@gmail.com,
120,,120,0465-804161,fondsdonnino@diocesifiden za.it,
121,,121,347-8454852,casasullago.trentino@gmai l.com,www.bebcasasullago.it
122,,122,349-7789135,,
123,,123,0461-723008,info@energyhotel.it,
124,,124,0461-723037,info@campingspiaggia.net,www.campingspiaggia.net
125,,125,0461-723062,trentino@campingpescatore .it,www.campingpescatore.it
126,,126,0461-723239,info@campingbelvedere.it,www.campingbelvedere.it
127,,127,0461-723272,info@penisolaverde.it,www.penisolaverde.it
128,,128,0461-723153,info@campingfleiola.it,www.campingfleiola.it
129,,129,0461-723229,puntalago@camping.it,www.campingpuntalago.com
130,,130,339 5747937 /,info@hellorizzi.it / mari na.71@live.it,www.hellorizzi.it
131,,131,336 255061,,
132,,132,3398107425,agriturlapergola@libero.i t,
