,FacilityID,RouteID,Price,Contact,FacilityEnum,Address,Calendar
0,0.0,,,0.0,6.0,0.0,
1,1.0,,,1.0,6.0,1.0,
2,2.0,,,2.0,6.0,2.0,
3,3.0,,,3.0,6.0,3.0,
4,4.0,,,4.0,6.0,4.0,
5,5.0,,,5.0,6.0,5.0,
6,6.0,,,6.0,6.0,6.0,
7,7.0,,,7.0,6.0,7.0,
8,8.0,,,8.0,6.0,8.0,
9,9.0,,,9.0,6.0,9.0,
10,10.0,,,10.0,6.0,10.0,
11,11.0,,,11.0,6.0,11.0,
12,12.0,,,12.0,6.0,12.0,
13,13.0,,,13.0,6.0,13.0,
14,14.0,,,14.0,6.0,14.0,
15,15.0,,,15.0,6.0,15.0,
16,16.0,,,16.0,6.0,16.0,
17,17.0,,,17.0,6.0,17.0,
18,18.0,,,18.0,6.0,18.0,
19,19.0,,,19.0,6.0,19.0,
20,20.0,,,20.0,6.0,20.0,
21,21.0,,,21.0,6.0,21.0,
22,22.0,,,22.0,6.0,22.0,
23,23.0,,,23.0,6.0,23.0,
24,24.0,,,24.0,6.0,24.0,
25,25.0,,,25.0,6.0,25.0,
26,26.0,,,26.0,6.0,26.0,
27,27.0,,,27.0,6.0,27.0,
28,28.0,,,28.0,6.0,28.0,
29,29.0,,,29.0,6.0,29.0,
30,30.0,,,30.0,6.0,30.0,
31,31.0,,,31.0,6.0,31.0,
32,32.0,,,32.0,6.0,32.0,
33,33.0,,,33.0,6.0,33.0,
34,34.0,,,34.0,6.0,34.0,
35,35.0,,,35.0,6.0,35.0,
36,36.0,,,36.0,6.0,36.0,
37,37.0,,,37.0,6.0,37.0,
38,38.0,,,38.0,6.0,38.0,
39,39.0,,,39.0,6.0,39.0,
40,40.0,,,40.0,6.0,40.0,
41,41.0,,,41.0,6.0,41.0,
42,42.0,,,42.0,6.0,42.0,
43,43.0,,,43.0,6.0,43.0,
44,44.0,,,44.0,6.0,44.0,
45,45.0,,,45.0,6.0,45.0,
46,46.0,,,46.0,6.0,46.0,
47,47.0,,,47.0,6.0,47.0,
48,48.0,,,48.0,6.0,48.0,
49,49.0,,,49.0,6.0,49.0,
50,50.0,,,50.0,6.0,50.0,
51,51.0,,,51.0,6.0,51.0,
52,52.0,,,52.0,6.0,52.0,
53,53.0,,,53.0,6.0,53.0,
54,54.0,,,54.0,6.0,54.0,
55,55.0,,,55.0,6.0,55.0,
56,56.0,,,56.0,6.0,56.0,
57,57.0,,,57.0,6.0,57.0,
58,58.0,,,58.0,6.0,58.0,
59,59.0,,,59.0,6.0,59.0,
60,60.0,,,60.0,6.0,60.0,
61,61.0,,,61.0,6.0,61.0,
62,62.0,,,62.0,6.0,62.0,
63,63.0,,,63.0,6.0,63.0,
64,64.0,,,64.0,6.0,64.0,
65,65.0,,,65.0,6.0,65.0,
66,66.0,,,66.0,6.0,66.0,
67,67.0,,,67.0,6.0,67.0,
68,68.0,,,68.0,6.0,68.0,
69,69.0,,,69.0,6.0,69.0,
70,70.0,,,70.0,6.0,70.0,
71,71.0,,,71.0,6.0,71.0,
72,72.0,,,72.0,6.0,72.0,
73,73.0,,,73.0,6.0,73.0,
74,74.0,,,74.0,6.0,74.0,
75,75.0,,,75.0,6.0,75.0,
76,76.0,,,76.0,6.0,76.0,
77,77.0,,,77.0,6.0,77.0,
78,78.0,,,78.0,6.0,78.0,
79,79.0,,,79.0,6.0,79.0,
80,80.0,,,80.0,6.0,80.0,
81,81.0,,,81.0,6.0,81.0,
82,82.0,,,82.0,6.0,82.0,
83,83.0,,,83.0,6.0,83.0,
84,84.0,,,84.0,6.0,84.0,
85,85.0,,,85.0,6.0,85.0,
86,86.0,,,86.0,6.0,86.0,
87,87.0,,,87.0,6.0,87.0,
88,88.0,,,88.0,6.0,88.0,
89,89.0,,,89.0,6.0,89.0,
90,90.0,,,90.0,6.0,90.0,
91,91.0,,,91.0,6.0,91.0,
92,92.0,,,92.0,6.0,92.0,
93,93.0,,,93.0,6.0,93.0,
94,94.0,,,94.0,6.0,94.0,
95,95.0,,,95.0,6.0,95.0,
96,96.0,,,96.0,6.0,96.0,
97,97.0,,,97.0,6.0,97.0,
98,98.0,,,98.0,6.0,98.0,
99,99.0,,,99.0,6.0,99.0,
100,100.0,,,100.0,6.0,100.0,
101,101.0,,,101.0,6.0,101.0,
102,102.0,,,102.0,6.0,102.0,
103,103.0,,,103.0,6.0,103.0,
104,104.0,,,104.0,6.0,104.0,
105,105.0,,,105.0,6.0,105.0,
106,106.0,,,106.0,6.0,106.0,
107,107.0,,,107.0,6.0,107.0,
108,108.0,,,108.0,6.0,108.0,
109,109.0,,,109.0,6.0,109.0,
110,110.0,,,110.0,6.0,110.0,
111,111.0,,,111.0,6.0,111.0,
112,112.0,,,112.0,6.0,112.0,
113,113.0,,,113.0,6.0,113.0,
114,114.0,,,114.0,6.0,114.0,
115,115.0,,,115.0,6.0,115.0,
116,116.0,,,116.0,6.0,116.0,
117,117.0,,,117.0,6.0,117.0,
118,118.0,,,118.0,6.0,118.0,
119,119.0,,,119.0,6.0,119.0,
120,120.0,,,120.0,6.0,120.0,
121,121.0,,,121.0,6.0,121.0,
122,122.0,,,122.0,6.0,122.0,
123,123.0,,,123.0,6.0,123.0,
124,124.0,,,124.0,6.0,124.0,
125,125.0,,,125.0,6.0,125.0,
126,126.0,,,126.0,6.0,126.0,
127,127.0,,,127.0,6.0,127.0,
128,128.0,,,128.0,6.0,128.0,
129,129.0,,,129.0,6.0,129.0,
130,130.0,,,130.0,6.0,130.0,
131,131.0,,,131.0,6.0,131.0,
132,132.0,,,132.0,6.0,132.0,
133,133.0,,,133.0,6.0,133.0,
134,134.0,,,134.0,6.0,134.0,
135,135.0,,,135.0,6.0,135.0,
136,136.0,,,136.0,6.0,136.0,
137,137.0,,,137.0,6.0,137.0,
138,138.0,,,138.0,6.0,138.0,
139,139.0,,,139.0,6.0,139.0,
140,140.0,,,140.0,6.0,140.0,
141,141.0,,,141.0,6.0,141.0,
142,142.0,,,142.0,6.0,142.0,
143,143.0,,,143.0,6.0,143.0,
144,144.0,,,144.0,6.0,144.0,
145,145.0,,,145.0,6.0,145.0,
146,146.0,,,146.0,6.0,146.0,
147,147.0,,,147.0,6.0,147.0,
148,148.0,,,148.0,6.0,148.0,
149,149.0,,,149.0,6.0,149.0,
150,150.0,,,150.0,6.0,150.0,
151,151.0,,,151.0,6.0,151.0,
152,152.0,,,152.0,6.0,152.0,
153,153.0,,,153.0,6.0,153.0,
154,154.0,,,154.0,6.0,154.0,
155,155.0,,,155.0,6.0,155.0,
156,156.0,,,156.0,6.0,156.0,
157,157.0,,,157.0,6.0,157.0,
158,158.0,,,158.0,6.0,158.0,
159,159.0,,,159.0,6.0,159.0,
160,160.0,,,160.0,6.0,160.0,
161,161.0,,,161.0,6.0,161.0,
162,162.0,,,162.0,6.0,162.0,
163,163.0,,,163.0,6.0,163.0,
164,164.0,,,164.0,6.0,164.0,
165,165.0,,,165.0,6.0,165.0,
166,166.0,,,166.0,6.0,166.0,
167,167.0,,,167.0,6.0,167.0,
168,168.0,,,168.0,6.0,168.0,
169,169.0,,,169.0,6.0,169.0,
170,170.0,,,170.0,6.0,170.0,
171,171.0,,,171.0,6.0,171.0,
172,172.0,,,172.0,6.0,172.0,
173,173.0,,,173.0,6.0,173.0,
174,174.0,,,174.0,6.0,174.0,
175,175.0,,,175.0,6.0,175.0,
176,176.0,,,176.0,6.0,176.0,
177,177.0,,,177.0,6.0,177.0,
178,178.0,,,178.0,6.0,178.0,
179,179.0,,,179.0,6.0,179.0,
180,180.0,,,180.0,6.0,180.0,
181,181.0,,,181.0,6.0,181.0,
182,182.0,,,182.0,6.0,182.0,
183,183.0,,,183.0,6.0,183.0,
184,184.0,,,184.0,6.0,184.0,
185,185.0,,,185.0,6.0,185.0,
186,186.0,,,186.0,6.0,186.0,
187,187.0,,,187.0,6.0,187.0,
188,188.0,,,188.0,6.0,188.0,
189,189.0,,,189.0,6.0,189.0,
190,190.0,,,190.0,6.0,190.0,
191,191.0,,,191.0,6.0,191.0,
192,192.0,,,192.0,6.0,192.0,
193,193.0,,,193.0,6.0,193.0,
194,194.0,,,194.0,6.0,194.0,
195,195.0,,,195.0,6.0,195.0,
196,196.0,,,196.0,6.0,196.0,
197,197.0,,,197.0,6.0,197.0,
198,198.0,,,198.0,6.0,198.0,
199,199.0,,,199.0,6.0,199.0,
200,200.0,,,200.0,6.0,200.0,
201,201.0,,,201.0,6.0,201.0,
202,202.0,,,202.0,6.0,202.0,
203,203.0,,,203.0,6.0,203.0,
204,204.0,,,204.0,6.0,204.0,
205,205.0,,,205.0,6.0,205.0,
206,206.0,,,206.0,6.0,206.0,
207,207.0,,,207.0,6.0,207.0,
208,208.0,,,208.0,6.0,208.0,
209,209.0,,,209.0,6.0,209.0,
