,FacilityID,TicketID,AutonomousTransportID,Cost,CurrencyType
0,0,,,37.0,€
1,1,,,60.0,€
2,2,,,0.0,€
3,3,,,13.0,€
4,4,,,420.0,€
5,5,,,240.0,€
6,6,,,48.0,€
7,7,,,14.5,€
8,8,,,150.0,€
9,9,,,53.77,€
10,10,,,31.0,€
11,11,,,110.0,€
12,12,,,225.0,€
13,13,,,145.0,€
14,14,,,140.0,€
15,15,,,131.5,€
16,16,,,140.0,€
17,17,,,0.0,€
18,18,,,65.0,€
19,19,,,60.0,€
20,20,,,64.0,€
21,21,,,150.0,€
22,22,,,130.0,€
23,23,,,0.0,€
24,24,,,95.0,€
25,25,,,0.0,€
26,26,,,65.0,€
27,27,,,0.0,€
28,28,,,0.0,€
29,29,,,0.0,€
30,30,,,80.0,€
31,31,,,0.0,€
32,32,,,0.0,€
33,33,,,0.0,€
34,34,,,0.0,€
35,35,,,0.0,€
36,36,,,0.0,€
37,37,,,90.0,€
38,38,,,0.0,€
39,39,,,0.0,€
40,40,,,0.0,€
41,41,,,0.0,€
42,42,,,108.0,€
43,43,,,90.0,€
44,44,,,0.0,€
45,45,,,80.0,€
46,46,,,110.0,€
47,47,,,90.0,€
48,48,,,0.0,€
49,49,,,0.0,€
50,50,,,14.0,€
51,51,,,13.0,€
52,52,,,19.0,€
53,53,,,15.0,€
54,54,,,150.0,€
55,55,,,0.0,€
56,56,,,0.0,€
57,57,,,84.0,€
58,58,,,120.0,€
59,59,,,100.0,€
60,60,,,0.0,€
61,61,,,100.0,€
62,62,,,185.0,€
63,63,,,110.0,€
64,64,,,50.0,€
65,65,,,120.0,€
66,66,,,115.0,€
67,67,,,100.0,€
68,68,,,100.0,€
69,69,,,40.0,€
70,70,,,58.0,€
71,71,,,60.0,€
72,72,,,320.0,€
73,73,,,82.0,€
74,74,,,35.0,€
75,75,,,70.0,€
76,76,,,0.0,€
77,77,,,0.0,€
78,78,,,0.0,€
79,79,,,16.0,€
80,80,,,0.0,€
81,81,,,60.0,€
82,82,,,10.0,€
83,83,,,9.5,€
84,84,,,65.0,€
85,85,,,0.0,€
86,86,,,0.0,€
87,87,,,500.0,€
88,88,,,300.0,€
89,89,,,70.0,€
90,90,,,0.0,€
91,91,,,90.0,€
92,92,,,0.0,€
93,93,,,270.0,€
94,94,,,0.0,€
95,95,,,15.0,€
96,96,,,0.0,€
97,97,,,65.0,€
98,98,,,42.0,€
99,99,,,0.0,€
100,100,,,35.0,€
101,101,,,75.0,€
102,102,,,800.0,€
103,103,,,100.0,€
104,104,,,500.0,€
105,105,,,910.8,€
106,106,,,0.0,€
107,107,,,30.0,€
108,108,,,62.0,€
109,109,,,50.0,€
110,110,,,85.0,€
111,111,,,82.0,€
112,112,,,8.0,€
113,113,,,9.0,€
114,114,,,90.0,€
115,115,,,70.0,€
116,116,,,65.0,€
117,117,,,110.0,€
118,118,,,110.0,€
119,119,,,60.0,€
120,120,,,23.0,€
121,121,,,47.0,€
122,122,,,0.0,€
123,123,,,80.0,€
124,124,,,15.0,€
125,125,,,15.0,€
126,126,,,16.0,€
127,127,,,22.0,€
128,128,,,24.0,€
129,129,,,18.0,€
130,130,,,0.0,€
131,131,,,0.0,€
132,132,,,60.0,€
133,133,,,0.0,€
134,134,,,90.0,€
135,135,,,0.0,€
136,136,,,0.0,€
137,137,,,78.0,€
138,138,,,6.0,€
139,139,,,55.0,€
140,140,,,40.0,€
141,141,,,46.0,€
142,142,,,48.0,€
143,143,,,100.0,€
144,144,,,92.0,€
145,145,,,15.0,€
146,146,,,290.0,€
147,147,,,0.0,€
148,148,,,135.71,€
149,149,,,0.0,€
150,150,,,0.0,€
151,151,,,60.0,€
152,152,,,0.0,€
153,153,,,0.0,€
154,154,,,0.0,€
155,155,,,200.0,€
156,156,,,150.0,€
157,157,,,0.0,€
158,158,,,0.0,€
159,159,,,0.0,€
160,160,,,0.0,€
161,161,,,100.0,€
162,162,,,70.0,€
163,163,,,55.0,€
164,164,,,60.0,€
165,165,,,250.0,€
166,166,,,0.0,€
167,167,,,35.0,€
168,168,,,33.0,€
169,169,,,40.0,€
170,170,,,190.0,€
171,171,,,90.0,€
172,172,,,82.0,€
173,173,,,0.0,€
174,174,,,70.0,€
175,175,,,110.0,€
176,176,,,0.0,€
177,177,,,0.0,€
178,178,,,13.5,€
179,179,,,13.0,€
180,180,,,0.0,€
181,181,,,0.0,€
182,182,,,90.0,€
183,183,,,85.0,€
184,184,,,150.0,€
185,185,,,0.0,€
186,186,,,0.0,€
187,187,,,0.0,€
188,188,,,250.0,€
189,189,,,0.0,€
190,190,,,0.0,€
191,191,,,143.0,€
192,192,,,0.0,€
193,193,,,550.0,€
194,194,,,240.0,€
195,195,,,0.0,€
196,196,,,0.0,€
197,197,,,200.0,€
198,198,,,0.0,€
199,199,,,232.0,€
200,200,,,115.0,€
201,201,,,0.0,€
202,202,,,170.0,€
203,203,,,0.0,€
204,204,,,170.0,€
205,205,,,0.0,€
206,206,,,0.0,€
207,207,,,11.0,€
208,208,,,157.0,€
209,209,,,220.0,€
210,210,,,140.0,€
211,211,,,30.0,€
212,212,,,0.0,€
213,213,,,0.0,€
214,214,,,195.0,€
215,215,,,0.0,€
216,216,,,38.0,€
217,217,,,30.0,€
218,218,,,0.0,€
219,219,,,0.0,€
220,220,,,100.0,€
221,221,,,0.0,€
222,222,,,85.0,€
223,223,,,35.0,€
224,224,,,80.0,€
225,225,,,98.0,€
226,226,,,116.0,€
227,227,,,62.0,€
228,228,,,45.0,€
229,229,,,35.0,€
230,230,,,80.0,€
231,231,,,35.0,€
232,232,,,10.0,€
233,233,,,15.0,€
234,234,,,240.0,€
235,235,,,130.0,€
236,236,,,45.0,€
237,237,,,70.0,€
238,238,,,100.0,€
239,239,,,70.0,€
240,240,,,70.0,€
241,241,,,105.0,€
242,242,,,0.0,€
243,243,,,0.0,€
244,244,,,0.0,€
245,245,,,250.0,€
246,246,,,220.0,€
247,247,,,150.0,€
248,248,,,66.0,€
249,249,,,50.0,€
250,250,,,70.0,€
251,251,,,18.0,€
252,252,,,155.0,€
253,253,,,0.0,€
254,254,,,0.0,€
255,255,,,0.0,€
256,256,,,1000.0,€
257,257,,,25.0,€
258,258,,,0.0,€
259,259,,,0.0,€
260,260,,,0.0,€
261,261,,,22.0,€
262,262,,,0.0,€
263,263,,,70.0,€
264,264,,,80.0,€
265,265,,,0.0,€
266,266,,,200.0,€
267,267,,,80.0,€
268,268,,,70.0,€
269,269,,,70.0,€
270,270,,,0.0,€
271,271,,,170.0,€
272,272,,,180.0,€
273,273,,,70.0,€
274,274,,,0.0,€
275,275,,,140.0,€
276,276,,,300.0,€
277,277,,,0.0,€
278,278,,,0.0,€
279,279,,,0.0,€
280,280,,,115.0,€
281,281,,,0.0,€
282,282,,,50.0,€
283,283,,,90.0,€
284,284,,,0.0,€
285,285,,,0.0,€
286,286,,,120.0,€
287,287,,,80.0,€
288,288,,,0.0,€
289,289,,,0.0,€
290,290,,,55.0,€
291,291,,,30.0,€
292,292,,,0.0,€
293,293,,,9.0,€
294,294,,,0.0,€
295,295,,,140.0,€
296,296,,,60.0,€
297,297,,,63.0,€
298,298,,,70.0,€
299,299,,,110.0,€
300,300,,,22.0,€
301,301,,,61.0,€
302,302,,,0.0,€
303,303,,,74.0,€
304,304,,,0.0,€
305,305,,,78.0,€
306,306,,,0.0,€
307,307,,,60.0,€
308,308,,,90.0,€
309,309,,,60.0,€
310,310,,,60.0,€
311,311,,,198.0,€
312,312,,,50.0,€
313,313,,,66.0,€
314,314,,,20.0,€
315,315,,,280.0,€
316,316,,,1176.0,€
317,317,,,520.0,€
318,318,,,750.0,€
319,319,,,30.0,€
320,320,,,286.0,€
321,321,,,0.0,€
322,322,,,255.0,€
323,323,,,200.0,€
324,324,,,140.0,€
325,325,,,0.0,€
326,326,,,0.0,€
327,327,,,300.0,€
328,328,,,35.0,€
329,329,,,0.0,€
330,330,,,0.0,€
331,331,,,0.0,€
332,332,,,0.0,€
333,333,,,0.0,€
334,334,,,0.0,€
335,335,,,0.0,€
336,336,,,80.0,€
337,337,,,9.5,€
338,338,,,144.0,€
339,339,,,30.0,€
340,340,,,60.0,€
341,341,,,0.0,€
342,342,,,100.0,€
343,343,,,30.0,€
344,344,,,70.0,€
345,345,,,9.0,€
346,346,,,10.0,€
347,347,,,450.0,€
348,348,,,130.0,€
349,349,,,220.0,€
350,350,,,98.0,€
351,351,,,0.0,€
352,352,,,4.7,€
353,353,,,27.0,€
354,354,,,120.0,€
355,355,,,0.0,€
356,356,,,0.0,€
357,357,,,70.0,€
358,358,,,0.0,€
359,359,,,0.0,€
360,360,,,0.0,€
361,361,,,0.0,€
362,362,,,0.0,€
363,363,,,28.0,€
364,364,,,29.0,€
365,365,,,0.0,€
366,366,,,230.0,€
367,367,,,350.0,€
368,368,,,600.0,€
369,369,,,36.0,€
370,370,,,23.0,€
371,371,,,65.0,€
372,372,,,0.0,€
373,373,,,130.0,€
374,374,,,100.0,€
375,375,,,80.0,€
376,376,,,75.0,€
377,377,,,120.0,€
378,378,,,0.0,€
379,379,,,70.0,€
380,380,,,0.0,€
381,381,,,0.0,€
382,382,,,50.0,€
383,383,,,30.0,€
384,384,,,67.0,€
385,385,,,25.0,€
386,386,,,0.0,€
387,387,,,0.0,€
388,388,,,0.0,€
389,389,,,0.0,€
390,390,,,0.0,€
391,391,,,0.0,€
392,392,,,200.0,€
393,393,,,60.0,€
394,394,,,25.0,€
395,395,,,0.0,€
396,396,,,0.0,€
397,397,,,140.0,€
398,398,,,240.0,€
399,399,,,91.0,€
400,400,,,0.0,€
401,401,,,119.57,€
402,402,,,120.0,€
403,403,,,180.0,€
404,404,,,145.14,€
405,405,,,175.0,€
406,406,,,310.0,€
407,407,,,113.0,€
408,408,,,32.0,€
409,409,,,0.0,€
410,410,,,0.0,€
411,411,,,25.0,€
412,412,,,80.0,€
413,413,,,40.0,€
414,414,,,0.0,€
415,415,,,0.0,€
416,416,,,70.0,€
417,417,,,0.0,€
418,418,,,0.0,€
419,419,,,100.0,€
420,420,,,70.0,€
421,421,,,0.0,€
422,422,,,65.0,€
423,423,,,80.0,€
424,424,,,90.0,€
425,425,,,120.0,€
426,426,,,21.0,€
427,427,,,220.0,€
428,428,,,0.0,€
429,429,,,140.0,€
430,430,,,256.0,€
431,431,,,20.0,€
432,432,,,100.0,€
433,433,,,0.0,€
434,434,,,120.0,€
435,435,,,26.0,€
436,436,,,0.0,€
437,437,,,95.0,€
438,438,,,330.0,€
439,439,,,150.0,€
440,440,,,130.0,€
441,441,,,129.0,€
442,442,,,0.0,€
443,443,,,50.0,€
444,444,,,0.0,€
445,445,,,25.0,€
446,446,,,0.0,€
447,447,,,80.0,€
448,448,,,30.0,€
449,449,,,70.0,€
450,450,,,100.0,€
451,451,,,0.0,€
452,452,,,100.0,€
453,453,,,157.0,€
454,454,,,85.0,€
455,455,,,60.0,€
456,456,,,50.0,€
457,457,,,24.0,€
458,458,,,0.0,€
459,459,,,0.0,€
460,460,,,120.0,€
461,461,,,0.0,€
462,462,,,0.0,€
463,463,,,61.0,€
464,464,,,13.0,€
465,465,,,13.0,€
466,466,,,21.0,€
467,467,,,192.0,€
468,468,,,125.0,€
469,469,,,0.0,€
470,470,,,0.0,€
471,471,,,133.0,€
472,472,,,100.0,€
473,473,,,140.0,€
474,474,,,110.0,€
475,475,,,136.0,€
476,476,,,120.0,€
477,477,,,120.0,€
478,478,,,163.0,€
479,479,,,150.0,€
480,480,,,170.0,€
481,481,,,80.0,€
482,482,,,50.0,€
483,483,,,80.0,€
484,484,,,70.0,€
485,485,,,0.0,€
486,486,,,0.0,€
487,487,,,120.0,€
488,488,,,15.0,€
489,489,,,55.0,€
490,490,,,150.0,€
491,491,,,90.0,€
492,492,,,90.0,€
493,493,,,60.0,€
494,494,,,90.0,€
495,495,,,78.0,€
