,FacilityID,RouteID,Province,City,Street,Number,Cap,Location
0,,,Trento,Lavis,Piazza Grazioli,,,0
1,,,Trento,Lavis,Piazza della Croce,,,1
2,,,Trento,Lavis,Via Stazione,,,2
3,,,Trento,Mezzocorona,Piazza San Gottardo,,,3
4,,,Trento,Mezzocorona,Via Cavalleggeri,19,,4
5,,,Trento,Mezzocorona,Piazza Trento,,,5
6,,,Trento,Mezzolombardo,via Cavalleggeri Udine ,1,,6
7,,,Trento,Mezzolombardo,Via Carducci,,,7
8,,,Trento,Mezzolombardo,Via San Francesco,4,,8
9,,,Trento,Rovereto,via Della Roggia,,,9
10,,,Trento,Rovereto,Via Antonio Balista ,10,,10
11,,,Trento,Rovereto,Via Perosi / Via Puccini,,,11
12,,,Trento,Rovereto,P.za Guella / Via Montello,,,12
13,,,Trento,Rovereto,Via  novembre / via Alveo,2,,13
14,,,Trento,Rovereto,Via Bettini Museo Mart,,,14
15,,,Trento,Rovereto,Via Calcinari fr. civ. ,11,,15
16,,,Trento,Rovereto,Via Noriglio / ex scuola D. Chiesa,,,16
17,,,Trento,Rovereto,Via del Garda / Via dell’Industria,,,17
18,,,Trento,Rovereto,C.so Verona Park Ospedale Nuovo,,,18
19,,,Trento,Rovereto,P.za Rosmini ,1,,19
20,,,Trento,Rovereto,Via Udine,,,20
21,,,Trento,Rovereto,Via Palestrina ,3,,21
22,,,Trento,Rovereto,Via Vittoria / Via Unione,,,22
23,,,Trento,Rovereto,P.le Orsi,,,23
24,,,Trento,Rovereto,Stazione Mori,,,24
25,,,Trento,Rovereto,Via Manzoni / Via Paoli,,,25
26,,,Trento,Rovereto,Piazzetta Scrinzi,,,26
27,,,Trento,Rovereto,Via Caproni Park Laghiol,,,27
28,,,Trento,San Michele all'Adige,Via S.F. Biasi c/o Fond. Mach,,,28
29,,,Trento,San Michele all'Adige,Via San Francesco Biasi ,1,,29
30,,,Trento,Trento,Via Lidorno / Aeroporto Caproni,,,30
31,,,Trento,Trento,Via De Gasperi,,,31
32,,,Trento,Trento,Via Bezzi / Via Vittorio Veneto,,,32
33,,,Trento,Trento,Via Alfieri / Via Torre Vanga,,,33
34,,,Trento,Trento,Via Guardini fr. civ. ,75,,34
35,,,Trento,Trento,Via S. Croce ,78,,35
36,,,Trento,Trento,via Madruzzo / via Rosmini,,,36
37,,,Trento,Trento,via Del Brennero ,99,,37
38,,,Trento,Trento,Via IV Novembre / Piscina,,,38
39,,,Trento,Trento,Via Lidorno / Park Trento Sud,,,39
40,,,Trento,Trento,Corso del Lavoro e della Scienza,,,40
41,,,Trento,Trento,P.za della Mostra ,30,,41
42,,,Trento,Trento,P.le di Centa / Via Vannetti,,,42
43,,,Trento,Trento,Via Grazioli / P.za Venezia,,,43
44,,,Trento,Trento,Via Fogazzaro / Via Gocciadoro,,,44
45,,,Trento,Trento,Via Pozzo / Via Torre Vanga,,,45
46,,,Trento,Trento,Via Gocciadoro,,,46
47,,,Trento,Trento,Via Pranzelores / Via Giuseppe Gilli,,,47
48,,,Trento,Trento,Via Rosmini ,50,,48
49,,,Trento,Trento,piazza Dante / via Vannetti,,,49
50,,,Trento,Trento,piazzale Zuffo,1,,50
51,,,Trento,Trento,piazzale Zuffo,2,,51
