,FacilityID,RouteID,Province,City,Street,Number,Cap,Location
10,10,,Trento,Trento,SS240,,38069,10
11,11,,Trento,Trento,SS240,,38069,11
12,12,,Trento,Trento,SS240,,38065,12
13,13,,Trento,Trento,Pista Ciclabile Mori - Torbole,,38069,13
14,14,,Trento,Trento,Pista Ciclabile Mori - Torbole,,38065,14
15,15,,Trento,Trento,SS240,,38065,15
16,16,,Trento,Trento,,,38065,16
17,17,,Trento,Trento,,,38065,17
18,18,,Trento,Trento,Via Giovanni Ventitreesimo,,,18
19,19,,Trento,Trento,SS240,,38065,19
20,20,,Trento,Trento,,,38069,20
21,21,,Trento,Trento,Pista Ciclabile Mori - Torbole,,38065,21
22,22,,Trento,Trento,Pista Ciclabile Mori - Torbole,,38065,22
23,23,,Trento,Trento,Via Lungolago Sarca,,68039,23
24,24,,Trento,Trento,Via alla Grotta,,,24
25,25,,Trento,Trento,,,,25
26,26,,Trento,Trento,,,,26
27,27,,Trento,Trento,Via Alzer,,38067,27
28,28,,Trento,Trento,Via Imperiale,,38067,28
29,29,,Trento,Trento,Via Alzer,,38067,29
30,30,,Trento,Trento,,,38067,30
31,31,,Trento,Trento,Via Imperiale,,38067,31
32,32,,Trento,Trento,,,,32
33,33,,Trento,Trento,,,,33
34,34,,Trento,Trento,Via 25 Aprile,,38013,34
35,35,,Trento,Trento,Strada Statale della Val di Non,,38010,35
36,36,,Trento,Trento,Via della Pontara,,38022,36
37,37,,Trento,Trento,SS42,,38022,37
38,38,,Trento,Trento,Via di Sotto Pila,,38026,38
39,39,,Trento,Trento,,,38024,39
40,40,,Trento,Trento,Ciclabile della Val di Sole,,38025,40
41,41,,Trento,Trento,Ciclabile della Val di Sole,,38025,41
42,42,,Trento,Trento,Ciclabile della Val di Sole,,38025,42
43,43,,Trento,Trento,Via delle Róge,,38024,43
44,44,,Trento,Trento,SS42,,38025,44
45,45,,Trento,Trento,,,38025,45
46,46,,Trento,Trento,Via per Marilleva,,38025,46
47,47,,Trento,Trento,Via dei Stabli,,,47
48,48,,Trento,Trento,SS42,,38027,48
49,49,,Trento,Trento,Strada delle Giare,,,49
50,50,,Trento,Trento,SS42,,38022,50
51,51,,Trento,Trento,Via Róge,,38026,51
52,52,,Trento,Trento,SS42,,38023,52
53,53,,Trento,Trento,Ciclabile Val di sole,,38025,53
54,54,,Trento,Trento,,,38022,54
55,55,,Trento,Trento,,,38025,55
56,56,,Trento,Trento,Ciclabile della Val di Sole,,38025,56
57,57,,Trento,Trento,,,38027,57
58,58,,Trento,Trento,SS42,,38027,58
59,59,,Trento,Trento,Ciclabile Val di Sole,,38026,59
60,60,,Trento,Trento,,,38026,60
61,61,,Trento,Trento,,,38022,61
62,62,,Trento,Trento,SP38,,38022,62
63,63,,Trento,Trento,SS42,,38025,63
64,64,,Trento,Trento,Via Róge,,38026,64
65,65,,Trento,Trento,Via Róge,,38026,65
66,66,,Trento,Trento,Strada Statale della Val di Non,,38023,66
67,67,,Trento,Trento,,,38024,67
68,68,,Trento,Trento,Via Canacciole,,38026,68
69,69,,Trento,Trento,Via dei Baschenis,6,38020,69
70,70,,Trento,Trento,Via Lori,,68039,70
71,71,,Trento,Trento,,,38062,71
72,72,,Trento,Trento,Via Linfano,,68039,72
73,73,,Trento,Trento,Via Linfano,,38062,73
74,74,,Trento,Trento,Via Linfano,,38062,74
75,75,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38074,75
76,76,,Trento,Trento,SP118,,38062,76
77,77,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38072,77
78,78,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38072,78
79,79,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38062,79
80,80,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38062,80
81,81,,Trento,Trento,Via Lori,,68039,81
82,82,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38062,82
83,83,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38062,83
84,84,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38070,84
85,85,,Trento,Trento,Pista Ciclabile Valle del Sarca,,38070,85
86,86,,Trento,Trento,pista ciclabile ovest di Storo,,38089,86
87,87,,Trento,Trento,Via Acquaiolo,,38083,87
88,88,,Trento,Trento,,,38083,88
89,89,,Trento,Trento,,,38083,89
90,90,,Trento,Trento,pista ciclabile est e nord di Storo,,38089,90
91,91,,Trento,Trento,,,38085,91
92,92,,Trento,Trento,SS237,,38085,92
93,93,,Trento,Trento,Strada ai Gregi,,38089,93
94,94,,Trento,Trento,Via Remorbio,,38089,94
95,95,,Trento,Trento,SS237,,38085,95
96,96,,Trento,Trento,pista ciclabile ovest di Storo,,38089,96
97,97,,Trento,Trento,pista ciclabile ovest di Storo,,38089,97
98,98,,Trento,Trento,pista ciclabile ovest di Storo,,38089,98
99,99,,Trento,Trento,SS237,,38083,99
100,100,,Trento,Trento,SS237,,38083,100
101,101,,Trento,Trento,SS237,99,38085,101
102,102,,Trento,Trento,pista ciclabile est e nord di Storo,,38089,102
103,103,,Trento,Trento,pista ciclabile est e nord di Storo,,38089,103
104,104,,Trento,Trento,pista ciclabile est e nord di Storo,,38089,104
105,105,,Trento,Trento,SS237,,38083,105
106,106,,Trento,Trento,pista ciclabile ovest di Storo,,38089,106
107,107,,Trento,Trento,SS237,,38083,107
108,108,,Trento,Trento,pista ciclabile est e nord di Storo,,38089,108
109,109,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38068,109
110,110,,Trento,Trento,Strada Statale della Val di Non,,38017,110
111,111,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,111
112,112,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38068,112
113,113,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,113
114,114,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,114
115,115,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,115
116,116,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38065,116
117,117,,Trento,Trento,Autostrada del Brennero,,38065,117
118,118,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,118
119,119,,Trento,Trento,",Mattarello",,38123,119
120,120,,Trento,Trento,Via Lidorno,,,120
121,121,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,,121
122,122,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,122
123,123,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,123
124,124,,Trento,Trento,Autostrada del Brennero,,38063,124
125,125,,Trento,Trento,,,39068,125
126,126,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,126
127,127,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,127
128,128,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,128
129,129,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,129
130,130,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,130
131,131,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,131
132,132,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,132
133,133,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,133
134,134,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,134
135,135,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,135
136,136,,Trento,Trento,Via Postal,,38016,136
137,137,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,137
138,138,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,138
