,RouteID,SpeedLimit,StartingPoint,ArrivalPoint,ModeOfTransport,TimeSpent,Facility,Length
27685,27685.0,1.0,1.0,2.0,4.0,0.0,,0.020346727190206564
27686,27686.0,1.0,3.0,4.0,4.0,1.0,,0.0026227083478787597
27687,27687.0,1.0,5.0,6.0,4.0,2.0,,0.00011241884404229956
27688,27688.0,1.0,7.0,8.0,4.0,3.0,,0.0007613595764335923
27689,27689.0,1.0,9.0,10.0,4.0,4.0,,0.00011063191603479594
27690,27690.0,1.0,11.0,12.0,4.0,5.0,,0.006727904866246842
27691,27691.0,1.0,13.0,14.0,4.0,6.0,,0.00011401309852594446
27692,27692.0,1.0,15.0,16.0,4.0,7.0,,0.0015186799446290278
27693,27693.0,1.0,17.0,18.0,4.0,8.0,,0.0003908552183886929
27694,27694.0,1.0,19.0,20.0,4.0,9.0,,0.0002779546123033185
27695,27695.0,1.0,21.0,22.0,4.0,10.0,,0.00013914185382172726
27696,27696.0,1.0,23.0,24.0,4.0,11.0,,0.00017391629857579693
27697,27697.0,1.0,25.0,26.0,4.0,12.0,,0.0004938787114530017
27698,27698.0,1.0,27.0,28.0,4.0,13.0,,0.005111567898847701
27699,27699.0,1.0,29.0,30.0,4.0,14.0,,0.0001708582664580397
27700,27700.0,1.0,31.0,32.0,4.0,15.0,,0.00023454616683644264
27701,27701.0,1.0,33.0,34.0,4.0,16.0,,0.0007389797149366741
27702,27702.0,1.0,35.0,36.0,4.0,17.0,,0.00021563496269043556
27703,27703.0,1.0,37.0,38.0,4.0,18.0,,0.0010066820916109166
27704,27704.0,1.0,39.0,40.0,4.0,19.0,,0.0004527929249317855
27705,27705.0,1.0,41.0,42.0,4.0,20.0,,9.104243586724083e-05
27706,27706.0,1.0,43.0,44.0,4.0,21.0,,0.00027584227938270647
27707,27707.0,1.0,45.0,46.0,4.0,22.0,,0.0009621880684460653
27708,27708.0,1.0,47.0,48.0,4.0,23.0,,0.00011509996727382307
27709,27709.0,1.0,49.0,50.0,4.0,24.0,,0.00033576869523486595
27710,27710.0,1.0,51.0,52.0,4.0,25.0,,0.00011079660393203695
27711,27711.0,1.0,53.0,54.0,4.0,26.0,,0.0009504137987551976
27712,27712.0,1.0,55.0,56.0,4.0,27.0,,0.0002996281322203631
27713,27713.0,1.0,57.0,58.0,4.0,28.0,,0.0004136032158627167
27714,27714.0,1.0,59.0,60.0,4.0,29.0,,0.0008033792499693407
27715,27715.0,1.0,61.0,62.0,4.0,30.0,,6.779829572727332e-05
27716,27716.0,1.0,63.0,64.0,4.0,31.0,,0.005132109828270265
27717,27717.0,1.0,65.0,66.0,4.0,32.0,,0.0029190913717887907
27718,27718.0,1.0,67.0,68.0,4.0,33.0,,0.00019539263119014346
27719,27719.0,1.0,69.0,70.0,4.0,34.0,,0.0003555993441538925
27720,27720.0,1.0,71.0,72.0,4.0,35.0,,1.8527245818744318e-05
27721,27721.0,1.0,73.0,74.0,4.0,36.0,,0.0023109470576002746
27722,27722.0,1.0,75.0,76.0,4.0,37.0,,0.0027586541950214475
27723,27723.0,1.0,77.0,78.0,4.0,38.0,,0.0005797983667850636
27724,27724.0,1.0,79.0,80.0,4.0,39.0,,0.0010334950841545344
27725,27725.0,1.0,81.0,82.0,4.0,40.0,,0.00044550117435971986
27726,27726.0,1.0,83.0,84.0,4.0,41.0,,0.001474045003051498
27727,27727.0,1.0,85.0,86.0,4.0,42.0,,0.0005370627574962411
27728,27728.0,1.0,87.0,88.0,4.0,43.0,,0.00013271774040556593
27729,27729.0,1.0,89.0,90.0,4.0,44.0,,0.000323748569163103
27730,27730.0,1.0,91.0,92.0,4.0,45.0,,0.00046086309692957477
27731,27731.0,1.0,93.0,94.0,4.0,46.0,,0.0010374248048780415
27732,27732.0,1.0,95.0,96.0,4.0,47.0,,0.003259745284735748
27733,27733.0,1.0,97.0,98.0,4.0,48.0,,0.0005884173901590911
27734,27734.0,1.0,99.0,100.0,4.0,49.0,,0.001330894490730729
27735,27735.0,1.0,101.0,102.0,4.0,50.0,,0.001159710661641765
27736,27736.0,1.0,103.0,104.0,4.0,51.0,,0.002154561763158798
27737,27737.0,1.0,105.0,106.0,4.0,52.0,,0.001964801886536773
