,Comune,Provincia,Tipologia,Categoria,Denominazione,Indirizzo,Frazione,Telefono,FAX,Indirizzo posta elettronica,Sito internet,Periodo apertura,Codice esercizio ricettivo,Partita IVA,Prezzo massimo letto aggiunto,Prezzo massimo consumazione pasto,Prezzo massimo colazione,Numero camere,Numero posti letto,Numero bagni comuni,Numero posti per tipo unità,Tipologia unità,Prezzo,Mobili,Numero posti,Tipologia piazzola,Prezzo piazzola,Numero lavelli,Numero WC,Numero docce,Numero piazzole,Allestimenti stabili,Allestimenti mobili,Capacita ricettiva,Codice servizio,Descrizione servizio,Tipo servizio,Codice altro servizio,Descrizione altro servizio,Denominazione localita turistica,Denominazione annuario localita turistica,Denominazione ente annuario localita turistica,Altitudine localita turistica,Cap localita turistica,Denominazione localita,Altitudine localita,Codice localita,CAP localita,Unnamed: 48
0,ALA,TRENTO,AFFITTACAMERE,due_soli,AI VELLUTAI,"LARGO VICENTINI, 42",,0464-674097,0464-674097,info@bedandbreakfastaivel lutai.com,,annuale,218234646,2159130224.0,"25,00",,"3,00",13.0,25.0,0.0,1.0,camera-con-bagno,37.0,,,,,,,,,,,,,,prima-colazione,,,ALA,ALA,A.P.T. DI ROVERETO E VALLAGARINA,180,38061,ALA,180,320,38061,
1,ALA,TRENTO,BED & BREAKFAST,,CA' DEL GIGLIO - PAVAN LUIGINA,"PIAZZA VITTORIO VENETO, 1",PILCANTE,338-1189108,,cadelgiglio@gmail.com,,annuale,194414651,,,,,2.0,4.0,1.0,2.0,camera-con-bagno,60.0,,,,,,,,,,,,,,BBqualita,,,ALA,ALA,A.P.T. DI ROVERETO E VALLAGARINA,180,38061,PILCANTE,180,8447,38061,
2,ALA,TRENTO,BED & BREAKFAST,,EL POJO - DEIMICHEI ROBERTO,"VIA BIASI, 5 - RONCHI DI ALA",RONCHI DI ALA,0464-671736,,deimiro@hotmail.it,,annuale,302299358,,,,,3.0,6.0,1.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ALA,ALA,A.P.T. DI ROVERETO E VALLAGARINA,180,38061,ALA,180,320,38061,
3,ALA,TRENTO,CAMPEGGIO PARCO PER VACANZE,2stelle,CAMPING AL FAGGIO,LOC. FRATTE,SEGA,0464-670162,0464-670162,campingalfaggio@gmail.com,www.campeggioalfaggio.it,annuale,1284383,85000870221.0,,,,,,,,piazzola,13.0,SI,4.0,allestimento-mobile-caravan,60.0,,,,99.0,0.0,9.0,396.0,STANN14.tennis-tavolo,Tennis tavolo - ping pong,,,,ALA,ALA,A.P.T. DI ROVERETO E VALLAGARINA,180,38061,SEGA,1246,50000142,38061,
4,ALA,TRENTO,CASA PER FERIE - CASA VACANZE GRUPPI,,CASA VACANZE EX GROBERIO,LOC. SEGA 17,SEGA,0464-671636,,turiscooplessinia@gmail.c om,,annuale,120945158,808530224.0,,,,17.0,70.0,,70.0,camera-con-bagno,420.0,,,,,17.0,14.0,13.0,,,,,STANN14.campo-basket-volley,Campo basket/volley,,,,ALA,ALA,A.P.T. DI ROVERETO E VALLAGARINA,180,38061,SEGA,1246,50000142,38061,
5,ALA,TRENTO,CAV - RESIDENCE,,RESIDENCE  ZUGNA,"CORSO G. CANTORE, 34 - SERRAVALLE",SERRAVALLE,0464-696205,0464-696004,zugna26@libero.it,www.residenzazugna.it,annuale,1283411,2124210226.0,,,,5.0,22.0,,4.0,appartamento,240.0,,,,,,,,,,,,,,,,,ALA,ALA,A.P.T. DI ROVERETO E VALLAGARINA,180,38061,SERRAVALLE,180,8461,38061,
6,ALDENO,TRENTO,BED & BREAKFAST,,IL GRAPPOLO - GIULIANI BRUNA,"P.ZZA G.SEGANTINI, 7",,339-4663799,,b-and-bilgrappolo@libero. it,,annuale,1406339,,,,,3.0,5.0,1.0,1.0,camera-con-bagno,48.0,,,,,,,,,,,,,,BBqualita,,,ALDENO,ALDENO,"A.P.T. AMBITO DI TRENTO, MONTE BONDONE E VALLE DEI LAGHI",209,38060,ALDENO,209,322,38060,
7,ANDALO,TRENTO,CAMPEGGIO PARCO PER VACANZE,2stelle,CAMPEGGIO ANDALO,"VIALE DEL PARCO, 4",,0461-585753,0461-585342,campeggio@andalolifepark. it,www.andalolifepark.it,annuale,1284516,2214180222.0,,,,,,,,piazzola,14.5,,,,,,,,65.0,0.0,0.0,240.0,STANN14.campo-basket-volley,Campo basket/volley,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
8,ANDALO,TRENTO,CASA PER FERIE - CASA VACANZE GRUPPI,,MIRAVALLE,"VIA PAGANELLA, 42",,0461-585263,,hotel.majorka@tin.it,,annuale,1280316,,,,,21.0,45.0,,45.0,camera-con-bagno,150.0,,,,,9.0,9.0,9.0,,,,,,,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
9,ANDALO,TRENTO,CASA PER FERIE - CASA VACANZE GRUPPI,,SAINT MORITZ,"VIA PAGANELLA, 46",,0461-585534,,,,annuale,1281061,,,,,16.0,23.0,,23.0,camera-con-bagno,53.77,,,,,8.0,8.0,5.0,,,,,,,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
10,ANDALO,TRENTO,CASA PER FERIE (TRADIZIONALE),,AL CERVO,"VIA TRENTO, 21",,0461-585843,,info@casaferie.it,,annuale,1280373,90007320220.0,"25,00","20,00","10,00",23.0,60.0,,1.0,camera-senza-bagno,31.0,,,,,13.0,13.0,10.0,,,,,,,prima-colazione,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
11,ANDALO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,DALFOVO ALDO,"VIA FOVO, 1",,0461-585859,0461-585859,dalfovo.aldo@email.it,,annuale,1431265,2002820229.0,,,,6.0,16.0,,2.0,appartamento,110.0,,,,,,,,,,,,,,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
12,ANDALO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,RESIDENZA AL PICCOLO,"VIA DEL MORO, 12",,0461-585710,0461-585436,piccolo@piccolo.it,,annuale,143846097,672270220.0,,,,5.0,13.0,,2.0,appartamento,225.0,,,,,,,,,,,,,,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
13,ANDALO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,RI' DE LA CLAMA,"VIA CLAMER, 21",,0461-585715,,appartamenti@doland.it,www.dolomitihotelolimpia. it,annuale,128537200,2096090226.0,,,,7.0,18.0,,2.0,appartamento,145.0,,,,,,,,,,,,,,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
14,ANDALO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,VILLA VIOLA,"VIA TENAGLIA, 3",,0461-585811,0461-019971,info@violaevillaviola.com,www.violaevillaviola.com,annuale,1281958,855970224.0,,,,9.0,38.0,,4.0,appartamento,140.0,,,,,,,,,,,,,,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
15,ANDALO,TRENTO,CAV - RESIDENCE,,RESIDENCE CIME D'ORO,"VIA PERLI, 26",,0461-585615,,info@residencecimedoro.it,www.residencecimedoro.it,annuale,1624401,2049950229.0,,,,6.0,22.0,,2.0,appartamento,131.5,,,,,,,,,,,,,,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
16,ANDALO,TRENTO,CAV - RESIDENCE,,VIOLA,"VIA S. ROCCO, 9",,0461-585975,0461-019971,info@violaevillaviola.com,www.violaevillaviola.com,annuale,1282975,855970224.0,,,,19.0,80.0,,4.0,appartamento,140.0,,,,,,,,,,,,STANN14.piscina-coperta,Piscina coperta,,,,ANDALO,ANDALO,"A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA",1040,38010,ANDALO,1042,324,38010,
17,ARCO,TRENTO,AFFITTACAMERE,due_soli,CASA ALLA LEGA,"VIA VERGOLANO, 10",,0464-517745,,info@casaallalega.it,www.casaallalega.it,annuale,307784267,1384940225.0,,,,0.0,12.0,0.0,2.0,appartamento,0.0,,,,,,,,,,,,STANN03.doccia-calda,Doccia calda/fredda,prima-colazione,STANN03.zona-relax,Zona relax,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
18,ARCO,TRENTO,AFFITTACAMERE,due_soli,FRANCA,"VIA CERERE, 3",,0464-531370,,info@franca.it,www.franca.it,annuale,1285903,2310680224.0,"15,00",,"8,00",6.0,12.0,2.0,2.0,camera-con-bagno,65.0,,,,,,,,,,,,STANN03.doccia-calda,Doccia calda/fredda,prima-colazione,STANN03.doccia-calda,Doccia calda/fredda,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
19,ARCO,TRENTO,AFFITTACAMERE,due_soli,MALGA S. GIOVANNI,"LOC. SAN GIOVANNI AL MONTE, 1",,0464-541191,,chiara.depentori@gmail.co m,www.malgasangiovanni.com,annuale,1483259,2267080220.0,"25,00","23,00","10,00",2.0,4.0,0.0,2.0,camera-con-bagno,60.0,,,,,,,,,,,,,,prima-colazione,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
20,ARCO,TRENTO,AFFITTACAMERE,due_soli,VILLA MARINA,"FRAZ. LINFANO, 56",LINFANO,0464-505330,0464-505330,villamarinatorbole@gmail. com,,annuale,1287017,293670220.0,"26,00",,"7,00",9.0,18.0,0.0,2.0,camera-con-bagno,64.0,,,,,,,,,,,,,,somministrazione-bevande,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,LINFANO,71,50000155,38062,
21,ARCO,TRENTO,AFFITTACAMERE,quattro_soli,ARCIDUCA CHARMING HOUSE,"VIA FOSSA GRANDE, 1",,327-7321285 / 333-4764861,0464-519283,info@arciduca.net,www.arciduca.net,annuale,1570836,2407900220.0,"40,00",,"15,00",12.0,24.0,0.0,1.0,camera-con-bagno,150.0,,,,,,,,,,,,,,prima-colazione,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
22,ARCO,TRENTO,AFFITTACAMERE,quattro_soli,DA GIANNI,"VIA S. MARCELLO, 21 - VIA CARDUCCI, 13",CHIARANO,0464-516464,0464-516464,info@dagianni.it,www.dagianni.it,annuale,1285391,1095540223.0,"35,00",,"15,00",13.0,28.0,1.0,2.0,camera-con-bagno,130.0,,,,,,,,,,,,STANN14.piscina-scoperta,Piscina scoperta,somministrazione-bevande,STANN03.cabina-estetica,Cabina estetica,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,CHIARANO,91,8500,38062,
23,ARCO,TRENTO,AFFITTACAMERE,quattro_soli,VILLA ITALIA,"VIALE MAGNOLIE, 29",,380-2584983,,alessandro@villaitaliarco .it,www.villaitaliarco.it,annuale,269316957,993280221.0,,,,25.0,50.0,0.0,2.0,appartamento,0.0,,,,,,,,,,,,STANN03.cabina-massaggi,Cabina massaggi,prima-colazione,STANN14.piscina-coperta,Piscina coperta,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
