service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012020091420210625,1,1,1,1,1,1,1,20200914,20210625
0000000012020091520210625,1,1,1,1,1,1,1,20200915,20210625
0000000012020092120210625,1,1,1,1,1,1,1,20200921,20210625
0000000012020122420210405,1,1,1,1,1,1,1,20201224,20210405
0000000022020091420210625,1,1,1,1,1,1,0,20200914,20210625
0000000022020091520210625,1,1,1,1,1,1,0,20200915,20210625
0000000022020091720210625,1,1,1,1,1,1,0,20200917,20210625
0000000022020092820210625,1,1,1,1,1,1,0,20200928,20210625
0000000022020120120210321,1,1,1,1,1,1,0,20201201,20210321
0000000022020121920210320,1,1,1,1,1,1,0,20201219,20210320
0000000022021032220210625,1,1,1,1,1,1,0,20210322,20210625
0000000042020091420210625,1,1,1,1,1,0,0,20200914,20210625
0000000042020091520210625,1,1,1,1,1,0,0,20200915,20210625
0000000042020092820210625,1,1,1,1,1,0,0,20200928,20210625
0000000052020091420210625,1,1,1,1,1,1,0,20200914,20210625
0000000052020091520210625,1,1,1,1,1,1,0,20200915,20210625
0000000052020091720210625,1,1,1,1,1,1,0,20200917,20210625
0000000052020092420210625,1,1,1,1,1,1,0,20200924,20210625
0000000052020092820210625,1,1,1,1,1,1,0,20200928,20210625
0000000052020100120210625,1,1,1,1,1,1,0,20201001,20210625
0000000062020091420210625,1,1,1,1,1,0,0,20200914,20210625
0000000062020091520210625,1,1,1,1,1,0,0,20200915,20210625
0000000062020091720210625,1,1,1,1,1,0,0,20200917,20210625
0000000062020092420210625,1,1,1,1,1,0,0,20200924,20210625
0000000062020092820210625,1,1,1,1,1,0,0,20200928,20210625
0000000062020100520210625,1,1,1,1,1,0,0,20201005,20210625
0000000072020091420210625,0,0,0,0,0,0,1,20200914,20210625
0000000072020120120210321,0,0,0,0,0,0,1,20201201,20210321
0000000072020122020210321,0,0,0,0,0,0,1,20201220,20210321
0000000072020122420210321,0,0,0,0,0,0,1,20201224,20210321
0000000072020122620210328,0,0,0,0,0,0,1,20201226,20210328
0000000092020091420210625,1,1,1,1,1,1,0,20200914,20210625
0000000302020091420210625,0,0,0,0,0,0,0,20200914,20210625
0000000352020091420210625,0,0,0,0,0,0,0,20200914,20210625
0000000392020091420210625,0,1,0,1,0,1,0,20200914,20210625
0000000402020091420210625,0,0,0,0,1,0,0,20200914,20210625
0000000402020091820210625,0,0,0,0,1,0,0,20200918,20210625
0000000412020091420210625,0,0,1,0,0,0,0,20200914,20210625
0000000502020091420210625,0,0,0,1,0,0,0,20200914,20210625
0000000822020091420210625,0,0,0,0,0,1,0,20200914,20210625
0000000822020091520210525,0,0,0,0,0,1,0,20200915,20210525
0000000822020092420210625,0,0,0,0,0,1,0,20200924,20210625
0000004512020091420210625,0,0,0,0,0,1,0,20200914,20210625
0000004512020091820210625,0,0,0,0,0,1,0,20200918,20210625
0000004512020121920210320,0,0,0,0,0,1,0,20201219,20210320
0000005552020091420210625,0,1,1,0,1,0,0,20200914,20210625
0000005902020091420210625,1,1,1,1,1,0,0,20200914,20210625
0000005902020122420210216,1,1,1,1,1,0,0,20201224,20210216
0000005902021061120210625,1,1,1,1,1,0,0,20210611,20210625
0000006202020120820210329,1,1,1,1,1,1,0,20201208,20210329
0000006202020120820210331,1,1,1,1,1,1,0,20201208,20210331
0000006212020120820210329,0,0,0,0,0,0,1,20201208,20210329
0000006212020120820210331,0,0,0,0,0,0,1,20201208,20210331
0000006222020120820210331,1,1,1,1,1,0,0,20201208,20210331
0000006232020120820210331,0,0,0,0,0,1,0,20201208,20210331
0000006262020091420210625,0,1,0,0,1,0,0,20200914,20210625
0000006272020091420210625,0,1,0,0,0,0,0,20200914,20210625
0000006362020091420210625,0,0,0,0,1,0,0,20200914,20210625
0000006372020091420210625,1,1,1,1,0,0,0,20200914,20210625
0000006462020091420210625,0,0,0,0,0,1,0,20200914,20210625
0000006512020091420210625,1,0,0,0,0,0,0,20200914,20210625
0000006512020091820210625,1,0,0,0,0,0,0,20200918,20210625
0000006532020091420210625,1,0,0,1,0,0,0,20200914,20210625
0000006652020091420210625,1,1,1,1,0,0,0,20200914,20210625
