route_id,agency_id,route_short_name,route_long_name,route_type
1,12,B101,Cavalese-Predazzo-Moena-Canazei-Penia,3
3,12,B102,Trento -  Cembra - Capriana - Cavalese,3
7,12,B114,Casatta di Valfloriana - Palu' - Sicina,3
55,12,B104,Trento-S.Michele a/A-Salorno-Egna-Ora-Cavalese,3
60,12,B105,Verla - Valternigo - Palu' di Giovo,3
63,12,B121,Montesover - Sover,3
65,12,B109,Cavalese - Masi di Cavalese,3
67,12,B111,Cavalese - Carano - Villaggio Veronza,3
69,12,B402,Trento - Nogarè - Baselga di Pinè -Montesover,3
71,12,B201,Trento-Vezzano Apt-Sarche-Tione,3
73,12,B216,Tione-Bolbeno-Ragoli-Montagne,3
76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3
78,12,B203,Vezzano-Ciago-Ranzo-Margone,3
80,12,B206,Trento-Cadine-Candriai-Sopramonte-Terlago-MTerlago,3
84,12,B429,Centrale - Regnana,3
86,12,B408,Borgo Valsugana - Olle,3
90,12,B415,Levico Terme - Barco - S.Giuliana - Lochere,3
92,12,B431,Baselga di Pinè - S.Mauro,3
94,12,B413,Brusago-Valcava,3
96,12,B428,Bedollo-Svaldi,3
98,12,B410,Borgo Valsugana - Tezze - Primolano,3
102,12,B501,S.Martino di Castrozza-Fiera di Primiero-Feltre,3
106,12,B504,Canal S.Bovo - Ronco Fosse - Ronco Chiesa,3
108,12,B512,Borgo Valsugana-Arten-Feltre,3
110,12,B301,Trento-Besenello-Calliano-Rovereto,3
112,12,B503,Fiera di Primiero-Passo Cereda-Mis-Sagron,3
116,12,B506,Fiera di Primiero-Imer-Canal S.Bovo-Caoria,3
117,12,B112,Cavalese - Daiano - Varena,3
120,12,B103,Trento - Civezzano - Sover - Cavalese,3
123,12,B514,(Borgo) Arten-Fiera di P.-S.Martino di Castrozza,3
130,12,B122,Predazzo-P.sso Rolle-Fiera di P.,3
132,12,B409,Borgo Valsugana -Roncegno Terme -Ronchi,3
134,12,B205,Trento-Vezzano-Sarche-Dro-Arco-Riva,3
136,12,B113,Cavalese - Daiano - Carano - Tesero - Cavalese,3
138,12,B404,Baselga di Pinè - Faida  - Montagnaga,3
151,12,B116,Trento - Civezzano - S.Agnese - Bosco,3
153,12,B211,Riva del G.-Tenno-Fiave'-Ponte Arche,3
155,12,B210,Ponte Arche-S.Croce-Cavrasto-Bivedo,3
157,12,B215,Tione-Pieve di Bono-Storo-Baitoni-Ponte Caffaro,3
159,12,B209,Ponte Arche-Lundo,3
161,12,B208,Ponte Arche-S.Lorenzo in B.-Molveno,3
164,12,B213,Pieve di Bono-Castel Condino-Por,3
167,12,B212,Pieve di Bono-Praso-Daone,3
169,12,B406,Borgo Valsugana -Carzano -Strigno -Samone,3
171,12,B214,Riva-Pregasina-Bezzecca-Storo-Pieve di Bono,3
