stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1,0001,Trento-Autostaz.,,46.070785,11.118461,0001
2,0001BS,Trento Solteri Bivio Ss.12,,46.084046,11.119732,0001
3,0001BC,Trento Bren Center,,46.091322,11.115664,0001
4,1010,Lavis,,46.138361,11.109139,1010
5,0954,S.Michele A/Adige,,46.193684,11.132524,6110
6,1030,Salorno-Salurn,,46.240611,11.208106,1030
7,1040,Laghetti-Laag,,46.271948,11.238975,1040
8,1050,Egna-Neumarkt,,46.315973,11.272452,1050
9,1059,Cela-Aguai Bivio,,46.291364,11.418721,1060
10,1060VA,Castello di F.-Via Stazione,,46.282069,11.428969,1060
11,1060,Castello di Fiemme,,46.281011,11.434824,1060
12,1070BN,Cavalese-Bivio Carano,,46.287417,11.441664,1070
13,1070HG,Cavalese-Hotel Garden,,46.289269,11.448069,1070
14,1070BL,Cavalese-P.Zza Partigiani,,46.291890,11.455508,1070
15,1070PV,Cavalese-Piazza G.Verdi,,46.290334,11.460692,1070
16,1070,Cavalese-Autostaz.,,46.287908,11.463237,1070
17,1190GD,Tesero-Giardino Dolomiti,,46.292465,11.484695,1190
18,1190LP,Tesero-Loc. Piera,,46.292226,11.492126,1190
19,1190,Tesero,,46.288877,11.510913,1190
20,1200CC,Panchià-Casa Cantoniera,,46.286996,11.532106,1200
21,1200,Panchia',,46.285513,11.541747,1200
22,1210,Ziano di Fiemme,,46.286634,11.559677,1210
23,1210RD,Ziano di Fiemme-Alla Roda,,46.288369,11.569365,1210
24,1220BN,Predazzo-Borgo Nuovo,,46.306538,11.598956,1220
25,1220,Predazzo-Autostaz.,,46.309520,11.604929,1220
26,1220IP,Predazzo-Distributore Agip,,46.317177,11.597112,1220
27,1220LT,Predazzo-Impianti Latemar,,46.328660,11.600173,1220
28,1239,Mezzavalle,,46.337922,11.610372,1239
29,1240,Forno,,46.347284,11.625634,1240
30,1240AF,Forno-Albergo Foresta,,46.354423,11.633775,1240
31,1250CC,Moena-Caserma Carabinieri,,46.369231,11.652300,1250
32,1250AT,Moena-Albergo Trentino,,46.372942,11.655275,1250
33,1250CE,Moena-Piazza Ramon,,46.376255,11.659896,1250
34,1250PZ,Moena-Pezzè,,46.380758,11.665577,1250
35,1270HL,Soraga-Hotel Al Lago,,46.392161,11.666744,1270
36,1270,Soraga,,46.396748,11.669557,1270
37,1280,Vigo di Fassa,,46.421389,11.676174,1280
38,1290,S.Giovanni di Fassa,,46.420876,11.681914,1280
39,1300,Pozza di Fassa,,46.427261,11.682917,1300
40,1310,Pera di Fassa,,46.435750,11.690481,1310
41,1310AP,Pera di Fassa-Loc. Al Ponte,,46.441680,11.695473,1310
42,1320,Mazzin di Fassa,,46.457958,11.701369,1320
43,1330,Campestrin,,46.462702,11.714980,1330
44,1340,Fontanazzo,,46.469686,11.727819,1340
45,1350,Campitello di Fassa,,46.475646,11.740936,1350
46,1360CA,Canazei-Hotel Caminetto,,46.479175,11.759202,1360
47,1360GR,Canazei-Gries,,46.477899,11.763966,1360
48,1360,Canazei-Via Pareda,,46.476193,11.770875,1360
49,1360FB,Canazei-Fun. Belvedere,,46.474083,11.774376,1360
50,1360IP,Canazei-Difr.Hotel Faloria,,46.471558,11.777820,1360
51,1380HA,Alba di Canazei-Hotel Ariston,,46.466319,11.780898,1380
52,1380,Alba di Canazei,,46.461948,11.783003,1380
53,1380FC,Alba di Canazei-Fun.Ciampac,,46.459388,11.786093,1380
54,1390,Penia,,46.457430,11.791840,1390
55,1390PN,Penia-Hotel Panarel,,46.456572,11.801537,1390
