stop_id,stop_level
1,100
2,60
3,60
4,80
5,60
6,60
7,60
8,80
9,40
10,40
11,60
12,40
13,20
14,20
15,60
16,100
17,40
18,40
19,60
20,40
21,60
22,60
23,40
24,60
25,100
26,20
27,60
28,60
29,60
30,20
31,20
32,80
33,80
34,20
35,20
36,60
37,80
38,60
39,80
40,60
41,20
42,60
43,60
44,60
45,80
46,20
47,20
48,80
49,60
50,20
51,20
52,60
53,20
54,80
55,40
56,40
59,20
60,20
61,60
62,20
63,60
64,20
65,20
66,80
67,60
68,80
69,60
70,60
71,60
72,60
73,80
74,80
77,60
79,60
80,20
81,60
82,20
83,20
84,20
85,20
86,20
87,60
88,80
89,40
90,60
91,60
92,40
93,60
94,80
95,20
96,60
97,60
98,20
99,20
100,80
101,60
102,20
103,60
104,80
105,20
106,20
107,20
108,60
109,80
110,80
111,20
112,80
113,20
114,60
115,60
116,60
117,20
118,20
119,20
121,60
123,20
124,80
125,80
126,60
127,80
128,60
129,60
130,80
131,20
132,20
133,60
134,60
135,20
137,80
138,60
139,60
140,60
141,60
142,60
143,60
144,60
145,80
532,80
533,80
535,20
537,60
538,80
539,40
540,40
541,40
542,60
543,60
544,60
546,80
548,60
549,60
551,60
552,60
557,40
558,60
560,40
562,80
563,40
564,60
565,40
566,60
567,80
568,80
569,40
570,60
572,80
574,80
575,80
578,80
579,60
580,60
581,60
582,20
584,60
585,60
586,80
587,60
588,60
589,80
590,80
591,60
592,60
593,60
594,20
595,60
596,40
597,80
598,80
599,40
600,40
601,40
602,80
603,40
604,40
605,60
606,40
607,80
608,60
609,60
610,60
611,60
612,80
613,80
614,40
615,60
616,80
617,60
618,60
619,60
620,60
621,60
622,60
623,60
624,80
625,20
626,60
627,20
628,60
629,80
630,20
632,60
633,60
634,20
636,80
637,40
638,60
639,40
640,80
641,60
642,80
643,20
644,20
646,20
647,20
648,20
649,60
650,20
651,60
652,60
653,80
654,60
655,20
656,60
657,60
658,40
660,20
661,60
662,20
664,60
665,20
666,20
667,60
669,60
670,60
671,20
672,80
673,80
675,60
676,60
677,60
678,60
679,60
682,80
683,60
684,60
685,20
686,20
687,80
688,20
689,60
690,20
691,80
693,20
694,20
695,20
696,20
697,20
698,60
699,20
700,20
701,20
702,80
703,80
708,40
709,80
710,60
711,40
712,40
713,80
714,40
715,80
716,40
717,60
718,60
719,40
720,40
721,80
722,20
723,40
724,20
725,60
726,60
727,60
728,20
731,20
733,20
734,60
735,20
736,60
737,60
739,20
740,20
741,60
742,100
743,20
744,60
745,60
746,40
748,60
749,20
750,60
751,60
752,40
754,40
755,40
756,40
757,100
758,20
759,60
760,60
761,60
762,20
763,60
764,60
765,20
766,60
767,20
768,60
769,60
770,60
771,20
772,20
773,60
774,60
775,20
776,60
777,20
778,80
779,20
780,60
781,20
782,20
783,20
784,20
785,60
786,20
787,20
788,20
789,20
790,20
791,20
792,20
793,80
794,20
795,80
796,20
797,20
798,80
799,20
800,60
801,80
803,80
804,60
805,60
807,20
808,20
809,60
811,20
812,20
813,20
814,60
815,20
816,40
817,20
818,20
819,60
820,60
821,60
822,20
823,20
824,60
825,60
826,60
827,60
829,20
830,80
831,40
832,60
833,80
834,60
835,60
836,80
837,60
838,80
839,60
