from_stop_id,to_stop_id,transfer_type,min_transfer_time
74,1,2,0
2426,1,2,0
3,2,2,0
77,2,2,0
2,3,2,0
77,3,2,0
73,4,2,0
2528,4,2,0
5,5,1,
2847,5,2,0
4973,5,2,0
72,6,2,0
71,7,2,0
8,8,1,
121,11,2,0
70,13,2,0
16,15,2,0
15,16,2,0
16,16,1,
5937,17,2,0
5938,18,2,0
19,19,1,
5940,20,2,0
21,21,2,0
5056,22,2,0
5941,23,2,0
5943,24,2,0
25,25,1,
5944,26,2,0
5946,27,2,0
5947,28,2,0
5948,29,2,0
5949,30,2,0
5951,31,2,0
32,32,1,
5952,32,1,
33,33,1,
5953,33,1,
5954,34,2,0
5955,35,2,0
36,36,2,0
5934,37,2,0
5956,38,2,0
68,39,2,0
5957,40,2,0
5959,41,2,0
5960,42,2,0
5961,43,2,0
67,44,2,0
66,45,2,0
65,46,2,0
64,47,2,0
5805,48,2,0
63,49,2,0
62,50,2,0
5963,51,2,0
61,52,2,0
60,53,2,0
59,54,2,0
54,59,2,0
53,60,2,0
52,61,2,0
50,62,2,0
49,63,2,0
47,64,2,0
46,65,2,0
45,66,2,0
44,67,2,0
39,68,2,0
13,70,2,0
7,71,2,0
6,72,2,0
4,73,2,0
2528,73,2,0
1,74,2,0
2426,74,2,0
2,77,2,0
3,77,2,0
2548,77,2,0
134,79,2,0
2572,79,2,0
132,82,2,0
131,83,2,0
88,88,1,
130,88,1,
129,96,2,0
128,97,2,0
2246,99,2,0
100,100,1,
127,100,1,
126,101,2,0
104,103,2,0
125,103,2,0
103,104,2,0
125,104,2,0
124,109,2,0
112,112,1,
667,115,2,0
116,116,1,
123,117,2,0
11,121,2,0
117,123,2,0
109,124,2,0
103,125,2,0
104,125,2,0
101,126,2,0
100,127,1,
127,127,1,
97,128,2,0
96,129,2,0
88,130,1,
130,130,1,
83,131,2,0
82,132,2,0
2574,133,2,0
79,134,2,0
2572,134,2,0
137,137,1,
145,145,1,
533,532,2,0
535,532,2,0
613,532,2,0
1108,532,2,0
1189,532,2,0
1190,532,2,0
1536,532,2,0
532,533,2,0
