route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
366,0000000092020091420210625,0002657882020091420210625,Cles-Autostazione,0,SHAPE02074
578,0000000042020091420210625,0002674942020091420210625,Ora-Staz. Fs,0,
503,0000000062020091420210625,0002632182020091420210625,Pilcante,0,SHAPE01555
120,0000000022020091420210625,0002610282020091420210625,Scancio di Segonzano-Snack Bar,1,SHAPE00601
84,0000000822020091420210625,0002644052020091420210625,Regnana,0,SHAPE00952
55,0000000022020091420210625,0002611112020091420210625,S.Michele A/Adige,0,SHAPE02094
520,0000000022020091420210625,0002646552020091420210625,Levico T.-Via Avancini,0,SHAPE01275
352,0000000072020091420210625,0002668422020091420210625,Mezzana Ftm,0,
3,0000000042020091420210625,0002611192020091420210625,Trento-Autostaz.,1,SHAPE01784
196,0000006272020091420210625,0002640542020091420210625,Mezzomonte,1,SHAPE00659
345,0000000062020091420210625,0002656102020091420210625,Santel,0,SHAPE01980
151,0000000022020091420210625,0002613062020091420210625,Bosco di Civezzano,0,SHAPE00781
522,0000000022020091420210625,0002646992020091420210625,Borgo Valsugana-C.Intermodale,1,SHAPE02010
345,0000004512020091420210625,0002656182020091420210625,Molveno,0,SHAPE00053
640,0000004512020091420210625,0002651002020091420210625,Zivignago-Paese,0,SHAPE00068
695,0000000022020091420210625,0002608322020091420210625,Trento-Staz. Fs,1,
375,0000000062020091420210625,0002657612020091420210625,Dambel,0,SHAPE02984
117,0000000022020091420210625,0002608862020091420210625,Varena-Via Alpini-Dir.Lavazè,0,SHAPE01387
640,0000004512020091420210625,0002651082020091420210625,Via S.Pietro 82-Villa Rosa,0,SHAPE00044
227,0000000052020091420210625,0002652372020091420210625,Caoria,1,SHAPE02741
1,0000000022020091420210625,0002610222020091420210625,Penia,0,SHAPE00026
520,0000000022020091420210625,0002646892020091420210625,Levico T.-Via Avancini,0,SHAPE01275
340,0000000022020091420210625,0002615872020091420210625,Mezzolombardo,1,SHAPE01875
76,0000000072020091420210625,0002624922020091420210625,Viote,0,SHAPE00508
233,0000000052020091420210625,0002638352020091420210625,Corne',0,SHAPE02215
565,0000000022020091420210625,0002676232020091420210625,Sopramonte,0,SHAPE00250
565,0000000042020091420210625,0002627042020091420210625,Candriai-Sp 85 Km. 9.4,1,SHAPE00013
132,0000005902020091420210625,0002644712020091420210625,Borgo Valsugana-C.Intermodale,1,SHAPE00194
196,0000006272020091420210625,0002640562020091420210625,Guardia di Folgaria,1,SHAPE00377
640,0000000022020091420210625,0002651332020091420210625,Zivignago-Paese,0,SHAPE00068
184,0000000022020091420210625,0002644792020091420210625,Torcegno,0,SHAPE00232
520,0000000022020091420210625,0002649452020091420210625,Trento-Autostaz.,1,SHAPE00050
423,0000000012020091420210625,0002671092020091420210625,Riva Del G.-Autostaz.,0,SHAPE00265
134,0000000042020091420210625,0002623372020091420210625,Riva Del G.-Autostaz.,0,SHAPE00001
640,0000000022020091420210625,0002651022020091420210625,Pergine-C.Intermodale,1,SHAPE00201
330,0000000062020091420210625,0002661312020091420210625,Bolentina,0,SHAPE02982
713,0000000052020091420210625,0002665512020091420210625,Mezzocorona-Staz.Fs,1,SHAPE00207
188,0000000052020091420210625,0002647282020091420210625,Pergine-C.Intermodale,1,SHAPE01145
120,0000000042020091420210625,0002612832020091420210625,Fornace-Via Dei Pradolini 4,0,SHAPE02469
703,0000000822020091420210625,0002657802020091420210625,Mezzolombardo Sc. Media,0,SHAPE00247
357,0000000022020091420210625,0002663372020091420210625,Livo,1,SHAPE02345
345,0000000822020091420210625,0002666412020091420210625,S.Michele A/A.-Ist. Agrario,1,SHAPE01206
366,0000004512020091420210625,0002658212020091420210625,Cles-Autostazione,0,SHAPE00208
157,0000000072020091420210625,0002621312020091420210625,Tione-Autostazione,1,SHAPE00098
604,0000000052020091420210625,0002609742020091420210625,Cavalese-Autostaz.,0,SHAPE01058
336,0000000062020091420210625,0002664172020091420210625,Fucine Scuola Media,0,SHAPE02146
681,0000000392020091420210625,0002667222020091420210625,Cles-Autostazione,0,SHAPE00540
132,0000000062020091420210625,0002644732020091420210625,Borgo Valsugana-C.Intermodale,1,SHAPE00194
713,0000000022020091420210625,0002665462020091420210625,Trento-Staz. Fs,1,SHAPE01761
3,0000000052020091420210625,0002611642020091420210625,Molina di Fiemme-Scuole,1,SHAPE01064
336,0000000022020091420210625,0002662232020091420210625,Cogolo,0,SHAPE01981
345,0000000042020091420210625,0002666432020091420210625,Mezzocorona-Staz.Fs,0,SHAPE00200
494,0000000022020091420210625,0002649472020091420210625,Baselga-Municipio,0,SHAPE02544
157,0000000062020091420210625,0002621342020091420210625,Tione-Autostazione,1,SHAPE00098
634,0000000022020091420210625,0002634942020091420210625,Trento-Autostaz.,1,SHAPE02756
186,0000000052020091420210625,0002640702020091420210625,Trento-Autostaz.,1,SHAPE00116
330,0000000052020091420210625,0002661332020091420210625,Bolentina,0,SHAPE01860
713,0000005902020091420210625,0002665532020091420210625,Trento-Staz. Fs,1,SHAPE01761
420,0000000022020091420210625,0002671202020091420210625,Riva Del G.-Autostaz.,0,SHAPE00119
151,0000000042020091420210625,0002612812020091420210625,Bosco di Civezzano,0,SHAPE01036
640,0000000022020091420210625,0002651322020091420210625,Pergine-C.Intermodale,1,SHAPE00032
366,0000000052020091420210625,0002658132020091420210625,Cles-Autostazione,0,SHAPE00035
326,0000000052020091420210625,0002660802020091420210625,Male',1,SHAPE02379
233,0000000822020091420210625,0002638262020091420210625,Cazzano,0,SHAPE02142
366,0000000092020091420210625,0002658232020091420210625,Cles-Autostazione,0,SHAPE01286
1,0000000052020091420210625,0002609762020091420210625,Penia Alta,0,SHAPE00721
522,0000000022020091420210625,0002646302020091420210625,Castello Tesino,0,SHAPE01448
98,0000000042020091420210625,0002647872020091420210625,Primolano-Alb.Giardino,0,SHAPE01772
520,0000000062020092420210625,0002680212020092420210625,Borgo Valsugana-C.Intermodale,0,SHAPE00343
130,0000000822020091420210625,0002608682020091420210625,Castelir di Bellamonte,0,SHAPE01168
520,0000000022020091420210625,0002646382020091420210625,Borgo Valsugana-C.Intermodale,0,SHAPE01151
604,0000000042020091420210625,0002612582020091420210625,Cavalese-Ospedale,0,SHAPE00692
67,0000000022020091420210625,0002608602020091420210625,Cela-Aguai-Paese,0,SHAPE00113
401,0000000062020091420210625,0002666492020091420210625,Vervo'-Scuola Materna,0,SHAPE00895
110,0000000072020091420210625,0002643462020091420210625,Trento-Autostaz.,1,SHAPE00707
520,0000000302020091420210625,0002653852020091420210625,Trento-Autostaz.,1,SHAPE00744
332,0000006232020120820210331,0002659862020120820210331,Passo Tonale,0,SHAPE02815
78,0000000092020091420210625,0002624752020091420210625,Vezzano Sud,1,SHAPE00566
336,0000000072020091420210625,0002661892020091420210625,Mezzana-Staz Ftm,1,SHAPE01097
578,0000000042020091420210625,0002675422020091420210625,Borghetto-Trenitalia,1,
565,0000000042020091420210625,0002628152020091420210625,Monte Terlago-H. 2 Laghi,0,SHAPE00590
76,0000000022020091420210625,0002620282020091420210625,Viote,0,SHAPE00508
157,0000004512020091420210625,0002678882020091420210625,Baitoni,0,SHAPE00385
1,0000000022020091420210625,0002611882020091420210625,Penia,0,SHAPE00026
