service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012020091420210610,1,1,1,1,1,1,1,20200914,20210610
0000000022020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000022020092120210610,1,1,1,1,1,1,0,20200921,20210610
0000000032020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000052020091420210610,0,0,0,0,0,0,1,20200914,20210610
0000000092020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000102020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000252020091420210610,0,0,0,0,0,1,0,20200914,20210610
0000000592020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000602020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000622020091420210610,0,0,0,0,0,0,1,20200914,20210610
0000000662020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000672020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000682020091420210610,1,1,1,1,0,0,0,20200914,20210610
0000000692020091420210610,0,0,0,0,1,0,0,20200914,20210610
0000000772020091420210610,0,0,0,0,0,1,0,20200914,20210610
0000000822020091420210610,0,0,0,0,0,1,0,20200914,20210610
0000001092020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000001402020091420210610,1,1,1,1,1,1,1,20200914,20210610
