"Numero sentiero tratta";"Competenza";"Denominazione";"Difficoltà";"Località inizio";"Località fine";"Quota inizio";"Quota fine";"Quota minima";"Quota massima";"Lunghezza plaminetrica";"Lunghezza inclinata";"Tempo andata";"Tempo ritorno";"Gruppo montagne interessate";"Comuni toccati";
"E101";"RIF. ALPE POZZA \"VINCENZO LANCIA\"";"";"E";"GIAZZERA";"RIFUGIO \"VINCENZO LANCIA\" (b.102-105-120-132)";1,095;1,802;1,095;1,802;6,890;6,980;"02:40";"02:00";"PASUBIO - COLSANTO";"Trambileno";
"E102";"RIF. ALPE POZZA \"VINCENZO LANCIA\"";"";"E";"ANGHEBENI (b.143)";"RIFUGIO \"VINCENZO LANCIA\" (b.101-105-120-132)";649;1,802;649;1,900;9,760;9,900;"04:10";"03:10";"PASUBIO - COLSANTO";"Vallarsa, Trambileno";
"E102A";"SEZ. SAT ROVERETO";"";"E";"POZZA RIONDA (b. 101)";"pr. BOCCHETTA  DEI FOXI (b.102)";1,653;1,749;1,653;1,965;3,540;3,600;"01:20";"01:20";"PASUBIO - COLSANTO";"Trambileno";
"E102B";"SEZ. SAT ROVERETO";"";"E";"QUOTA 1910 DEL MONTE TESTO (b.102A)";"A O DELLA BOCCH. DELLE CORDE(b.102)";1,910;1,900;1,900;1,910;340;350;"00:10";"00:10";"PASUBIO - COLSANTO";"Trambileno";
"E103";"RIF. FINONCHIO \"F.LLI FILZI\"";"";"E";"MOIETTO";"ZOM - Prà del Finonchio (b.104-107)";924;1,577;924;1,577;3,780;3,860;"02:00";"01:30";"FINONCHIO - MONTE MAGGIO";"Rovereto";
"E104";"RIF. FINONCHIO \"F.LLI FILZI\"";"";"E";"SERRADA (b.136-137-140)";"RIF. FINONCHIO \"FRATELLI FILZI\"";1,270;1,589;1,270;1,589;4,260;4,300;"01:20";"01:10";"FINONCHIO - MONTE MAGGIO";"Folgaria, Terragnolo, Rovereto";
"E104B";"RIF. FINONCHIO \"F.LLI FILZI\"";"";"E";"GUARDIA";"QUOTA 1372 (b.104)";970;1,372;970;1,376;2,110;2,200;"01:20";"01:00";"FINONCHIO - MONTE MAGGIO";"Folgaria";
"E105";"RIF. ALPE POZZA \"VINCENZO LANCIA\"";"";"E";"RIFUGIO \"VINCENZO LANCIA\" (b.101-102-120-132)";"RIFUGIO GENERALE \"ACHILLE PAPA\" (b.120)";1,802;1,925;1,802;2,232;7,770;7,890;"03:00";"03:00";"PASUBIO - COLSANTO";"Trambileno, Vallarsa";
"E105B";"RIF. ALPE POZZA \"VINCENZO LANCIA\"";"";"E";"SELLETTA PICCOLO ROITE (b.105)";"SELLETTA DEL GROVIGLIO (b.120)";2,111;2,077;2,077;2,111;240;250;"00:10";"00:10";"PASUBIO - COLSANTO";"Trambileno";
"E106";"SEZ. SAT ALA";"";"E";"VAL FREDDA";"MALGA LAVACCHIONE";298;1,402;298;1,402;7,580;7,670;"03:45";"02:45";"MONTI LESSINI";"Ala";
