FARE_ID, PRICE, CURRENCY_TYPE, PAYMENT_METHOD, TRANSFERS, TRANSFER_DURATION
EXT_MOBILE ENTRO 4 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 220 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 11 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 15 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 20 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 25 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 30 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 35 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 40 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 45 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 50 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 60 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 70 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 80 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 90 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 100 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 110 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 120 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 130 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 140 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 150 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 160 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 170 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 180 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 190 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 200 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 210 KM,1.80,EUR,1,,21600
EXT_MOBILE ENTRO 7 KM,1.80,EUR,1,,21600
