FARE_ID, PRICE, CURRENCY_TYPE, PAYMENT_METHOD, TRANSFERS, TRANSFER_DURATION
EXT_INTERA ENTRO 100 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 11 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 110 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 120 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 130 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 140 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 15 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 150 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 160 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 170 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 180 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 190 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 20 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 200 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 210 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 220 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 25 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 30 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 35 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 4 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 40 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 45 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 50 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 60 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 7 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 70 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 80 KM,2.00,EUR,1,,21600
EXT_INTERA ENTRO 90 KM,2.00,EUR,1,,21600
