FARE_ID, PRICE, CURRENCY_TYPE, PAYMENT_METHOD, TRANSFERS, TRANSFER_DURATION
EXT_CARTASCALARE ENTRO 4 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 220 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 11 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 15 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 20 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 25 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 30 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 35 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 40 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 45 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 50 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 60 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 70 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 80 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 90 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 100 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 110 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 120 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 130 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 140 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 150 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 160 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 170 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 180 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 190 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 200 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 210 KM,2.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 7 KM,2.00,EUR,1,,21600
