ZONE_ID, ZONE_NAME, ZONE_LAT, ZONE_LON
10101,Rovereto 	        										,0,0
10110,Trento Urbano,46.07248,11.12003
10121,Rovereto + Rv A,45.89096,11.04176
11015,Park Trento,46.05716,11.1146
11096,Rovereto Linea A,45.8815,11.03435
13041,Isera,45.88508,11.00962
14051,Mori,45.85309,10.97045
15091,Nogaredo,45.91195,11.02256
15650,Park Villazzano,46.04438,11.13964
16011,Nomi,45.92874,11.07258
16501,Calliano,45.93191,11.09169
17031,Pomarolo,45.92634,11.04294
18041,Villa Lagarina,45.91736,11.03382
18511,Castellano,45.92313,11.00862
19011,Volano,45.91733,11.06968
19025,Lavis,46.14281,11.10798
19500,Riva Del Garda,45.89227,10.84488
19600,Vigne/Varignano,45.91845,10.86161
19650,Varone,45.90752,10.83993
19700,Nago,45.87846,10.89066
19750,Torbole,45.87116,10.87556
19800,Arco,45.91639,10.88261
19900,Bolognano,45.91198,10.90196
19950,S.Tomaso,45.90262,10.86102
20110,Piazza Dante,46.07263,11.1198
